id,posted_date,date,company,issuing_office,subject,response_letter,closeout_letter,url
00087,02/03/2026,01/15/2026,The Great Smart African Food LLC,Division of Northern Border Imports,Foreign Supplier Verification Program (FSVP),,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/great-smart-african-food-llc-721634-01152026
00088,02/03/2026,01/30/2026,gotpouches.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/gotpouchescom-722621-01302026
00089,02/03/2026,01/30/2026,Cohance Lifesciences Limited,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/cohance-lifesciences-limited-718812-01302026
00090,01/27/2026,01/16/2026,"Zip Foods Importers, Inc",Office of Inspections and Investigations,Foreign Supplier Verification Program (FSVP),,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/zip-foods-importers-inc-713379-01162026
00091,01/27/2026,09/08/2025,American Food Distributor Inc.,Office of Inspections and Investigations,Foreign Supplier Verification Program (FSVP),,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/american-food-distributor-inc-715733-09082025
00092,01/27/2026,10/23/2025,MG GROUP USA,Office of Inspections and Investigations,Foreign Supplier Verification Program (FSVP),,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/mg-group-usa-718152-10232025
00093,01/27/2026,11/25/2025,"Asli Foods, Inc",Office of Inspections and Investigations,Foreign Supplier Verification Program (FSVP),,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/asli-foods-inc-719578-11252025
00094,01/27/2026,12/22/2025,"Meridian Bioscience, Inc",Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/meridian-bioscience-inc-720826-12222025
00095,01/27/2026,01/14/2026,Fulijaya Manufacturing SDN. BHD.,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/fulijaya-manufacturing-sdn-bhd-719172-01142026
00096,01/27/2026,12/17/2025,"MAST Biosurgery USA, Inc.",Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/mast-biosurgery-usa-inc-720661-12172025
00097,01/27/2026,01/13/2026,"Center For Immunology Science, LLC",Center for Drug Evaluation and Research (CDER),Sponsor/Investigator,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/center-immunology-science-llc-719933-01132026
00098,01/20/2026,01/08/2026,Genetrace,Center for Biologics Evaluation and Research (CBER),Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA),,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/genetrace-720529-01082026
00099,01/20/2026,01/08/2026,Genovate,Center for Biologics Evaluation and Research (CBER),Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA),,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/genovate-720554-01082026
